trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/FinalReward Mean,exploration/FinalReward Std,exploration/FinalReward Max,exploration/FinalReward Min,exploration/Average Returns,exploration/env_infos_final/pos_diff Mean,exploration/env_infos_final/pos_diff Std,exploration/env_infos_final/rot_diff Mean,exploration/env_infos_final/rot_diff Std,exploration/env_infos_final/flip Mean,exploration/env_infos_final/flip Std,exploration/env_infos_final/success Mean,exploration/env_infos_final/success Std,exploration/env_infos_final/target_finger_penalty Mean,exploration/env_infos_final/target_finger_penalty Std,exploration/env_infos_final/pos_rot_reward Mean,exploration/env_infos_final/pos_rot_reward Std,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/FinalReward Mean,evaluation/FinalReward Std,evaluation/FinalReward Max,evaluation/FinalReward Min,evaluation/Average Returns,evaluation/env_infos_final/pos_diff Mean,evaluation/env_infos_final/pos_diff Std,evaluation/env_infos_final/rot_diff Mean,evaluation/env_infos_final/rot_diff Std,evaluation/env_infos_final/flip Mean,evaluation/env_infos_final/flip Std,evaluation/env_infos_final/success Mean,evaluation/env_infos_final/success Std,evaluation/env_infos_final/target_finger_penalty Mean,evaluation/env_infos_final/target_finger_penalty Std,evaluation/env_infos_final/pos_rot_reward Mean,evaluation/env_infos_final/pos_rot_reward Std,time/epoch (s),time/total (s),Epoch
52.529556,52.453262,-4.0446577,-4.2707477,5.8516803,4.7648287,-17.018976,-4.0479517,0.4727121,-2.4902856,-5.3492107,-0.00020541968,0.0012722246,0.0014506266,-0.0019833604,0.9990004897117615,-0.0,9000,225,40.0,0.0,40,40,-7.900506493770839,2.4765146345455284,-3.872212304539779,-18.52916809073539,-327.0774931142647,9.811432981517651,4.416753592208949,15.10732019121983,12.834161700800413,0.0,0.0,0.0,0.0,-2.467445046032403,0.6288729944545891,-5.433061447738437,2.399751601141844,800,20,40.0,0.0,40,40,-13.099035376133106,0.33476814693153184,-12.441386390058197,-13.757228533675459,-523.931146158677,20.66978046508924,0.7519920684636019,2.833355552002746,1.5765249234929772,0.0,0.0,0.0,0.0,-2.665242377064268,2.3161349168416616e-13,-10.433792999068837,0.3347681469314795,0,4684.620779927063,0
13.590607,12.136576,133.6589,-134.38383,98.36525,-3.4747303,-450.66238,6.440284,5.306475,22.24123,-5.584578,-0.9402723,0.44000182,0.21053487,-3.0428557,0.18710507452487946,0.7383207082748413,17000,425,40.0,0.0,40,40,-6.1504223821613255,2.5914617357114893,-1.2075869568325095,-16.366759657970093,-257.1563604064759,8.283639905244,4.033877334833313,24.789931577563312,21.06413320996319,0.235,0.4239988207530771,0.01,0.09949874371066199,-1.1432705747941427,1.0271157065105736,-5.007151807367182,2.207003795984253,1600,40,40.0,0.0,40,40,-7.427712859217188,0.26369667795682783,-6.831334462993782,-7.811883133585124,-309.9151538576834,8.702143942648672,0.33451662708369306,13.436664359031194,1.623014280518848,0.0,0.0,0.0,0.0,-2.6076128207919167,0.09208703625016378,-4.820100038425271,0.20039088124432358,0,9043.85498211201,1
2.7902336,2.705357,81.259384,-79.054535,58.937305,-1.2068199,-274.0254,5.676888,4.4595747,16.950157,-6.9458323,-0.9621887,0.38292825,0.00015604496,-2.3609114,0.11579000949859619,-0.6965917348861694,25000,625,40.0,0.0,40,40,-4.001710047533972,4.020465880737756,-0.46867676265665403,-28.414723728229546,-199.65786907390262,5.548533667144686,5.265021475349431,21.302410420748043,22.007691180866672,0.69,0.462493243193887,0.115,0.31902194281898544,-0.4838488130552215,1.0483560011437119,-3.5178612344787514,3.115881697677134,2400,60,40.0,0.0,40,40,-3.414934645594677,3.1376998725970355,-1.0471935897981806,-15.117610115389734,-180.670011052966,3.6861005867325596,4.371090813630149,29.556159541304005,9.627288106895618,0.55,0.49749371855331,0.0,0.0,-0.540179755747414,0.9541338653436995,-2.8747548898472637,2.267497735805667,0,13636.180307153089,2
7.2321773,6.438484,70.36351,-69.500046,61.112267,-2.7974498,-411.86172,5.3009334,4.8726892,19.054152,-7.7795897,-1.0061921,0.41436994,0.15964544,-2.666034,0.10443060100078583,-1.579270839691162,33000,825,40.0,0.0,40,40,-1.9497241295288008,3.7995210300197897,-0.17670728111376194,-25.542590289486412,-145.60190824990005,2.8754316681117214,5.2909968557499125,9.368329041387492,12.563895065627278,0.945,0.22798026230355997,0.695,0.460407428263272,-0.18499192110810841,0.8353456001621729,-1.7647322084206922,3.0126594961625384,3200,80,40.0,0.0,40,40,-4.817395586363323,5.974414322951597,-0.623357154179676,-17.876405251967654,-218.29329992057265,7.783705924599159,9.385424628201,16.26572033712459,20.782983837576694,0.9,0.30000000000000004,0.35,0.4769696007084728,-0.35776187388089004,1.0732864208807291,-4.4596337124824315,5.391991580750496,0,18180.837705994083,3
trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/FinalReward Mean,exploration/FinalReward Std,exploration/FinalReward Max,exploration/FinalReward Min,exploration/Average Returns,exploration/env_infos_final/pos_diff Mean,exploration/env_infos_final/pos_diff Std,exploration/env_infos_final/rot_diff Mean,exploration/env_infos_final/rot_diff Std,exploration/env_infos_final/flip Mean,exploration/env_infos_final/flip Std,exploration/env_infos_final/success Mean,exploration/env_infos_final/success Std,exploration/env_infos_final/target_finger_penalty Mean,exploration/env_infos_final/target_finger_penalty Std,exploration/env_infos_final/pos_rot_reward Mean,exploration/env_infos_final/pos_rot_reward Std,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/FinalReward Mean,evaluation/FinalReward Std,evaluation/FinalReward Max,evaluation/FinalReward Min,evaluation/Average Returns,evaluation/env_infos_final/pos_diff Mean,evaluation/env_infos_final/pos_diff Std,evaluation/env_infos_final/rot_diff Mean,evaluation/env_infos_final/rot_diff Std,evaluation/env_infos_final/flip Mean,evaluation/env_infos_final/flip Std,evaluation/env_infos_final/success Mean,evaluation/env_infos_final/success Std,evaluation/env_infos_final/target_finger_penalty Mean,evaluation/env_infos_final/target_finger_penalty Std,evaluation/env_infos_final/pos_rot_reward Mean,evaluation/env_infos_final/pos_rot_reward Std,time/epoch (s),time/total (s),Epoch
12.511519,13.0085335,47.088203,-43.130135,26.738743,-4.141037,-139.08017,4.5485106,4.5593247,16.325882,-5.654998,-1.2678033,0.4609822,-0.06709243,-3.0664067,0.09704506397247314,-3.385146141052246,9000,225,40.0,0.0,40,40,-1.5260335561278517,1.8067810053414162,-0.20060707487234813,-18.514756323662393,-125.88982622928206,2.227235270235181,2.55570736592339,7.528276757028754,7.9396410164836375,0.915,0.27888169534768686,0.665,0.4719904660054057,-0.1496294881872352,0.5621498491069554,-1.3764040679406164,1.411777375400649,800,20,40.0,0.0,40,40,-1.6496949555851832,3.51815350477621,-0.2931308916714657,-16.379819576611624,-133.68278559227917,2.149447380655324,3.3558700114106075,6.061324550342234,16.96467959787834,0.9,0.3,0.8,0.4,-0.3633911243866475,1.2829469949764818,-1.2863038311985353,2.2576315062164047,0,5216.175142438997,0
1.1689224,0.8332323,28.65567,-23.572306,21.032772,-0.011382717,-94.19688,5.953003,4.8958,21.10466,-5.1247787,-1.4498425,0.6133304,-0.015422821,-3.5146751,0.06011505052447319,-0.13211707770824432,17000,425,40.0,0.0,40,40,-1.1060394353193688,2.1662636820763734,-0.14387191311612757,-22.087896913620956,-107.25575999540175,1.5308572581829856,2.7982170748922943,7.072193485826688,9.857715387349122,0.95,0.21794494717703372,0.77,0.4208325082500163,-0.09374468289633477,0.5446271567950177,-1.012294752423034,1.6827329482884548,1600,40,40.0,0.0,40,40,-0.5180325977147384,0.1679279750304964,-0.2621553547226572,-0.9067286116963884,-91.91200286065457,0.8492157536413922,0.29082921687523244,2.6764211047081536,1.447376557017191,1.0,0.0,1.0,0.0,0.0,0.0,-0.5180325977147384,0.1679279750304964,0,10352.893685693996,1
0.8328407,0.8598718,30.398983,-25.204002,22.505434,-0.19272938,-193.58336,5.9236565,5.5080914,22.664051,-2.9386187,-1.4622244,0.64056456,-0.04360342,-4.0342855,0.04581054672598839,-0.2353796362876892,25000,625,40.0,0.0,40,40,-0.5516065383578479,0.7312721758082597,-0.14617423512285344,-10.000777708269977,-91.39516177712194,0.8216490640391979,0.8273571643818763,3.6368563672411223,4.890760191945619,0.995,0.07053367989832944,0.965,0.1837797594948911,-0.01383177027729368,0.19512113143317197,-0.5377747680805541,0.5580624706760037,2400,60,40.0,0.0,40,40,-0.42813491696928024,0.23262149815416797,-0.220615584572855,-1.242683155831624,-90.39828991426492,0.6429586258627922,0.21309790942053955,3.0554579863946123,6.18816752522944,1.0,0.0,0.95,0.21794494717703372,0.0,0.0,-0.42813491696928024,0.23262149815416797,0,14768.805259499,2
0.7905118,0.7151311,30.717821,-25.079561,19.201723,-0.26320332,-99.17195,5.9050846,5.338121,21.008724,-4.697051,-1.5274878,0.70407325,0.19428587,-4.0955925,0.03833660110831261,-0.3095438480377197,33000,825,40.0,0.0,40,40,-0.3800679699106357,0.2312092141506944,-0.12802950847484704,-2.1949596292144506,-85.59967903920408,0.585356464172972,0.4123262728376753,2.503531575039277,1.661622166351818,1.0,0.0,0.99,0.09949874371066199,0.0,0.0,-0.3800679699106357,0.2312092141506944,3200,80,40.0,0.0,40,40,-0.5947325584834163,0.06971284891732425,-0.47339528242306317,-0.7338817355487266,-84.16399288683571,0.7242295160568724,0.13420316229056262,6.664009102843366,1.892064318392085,1.0,0.0,1.0,0.0,0.0,0.0,-0.5947325584834163,0.06971284891732425,0,19015.041480466,3
1.0095645,0.7889433,34.35326,-28.573147,24.721342,-0.28431073,-215.3017,6.293151,5.733213,21.757343,-6.2331142,-1.5609745,0.75203633,-0.16440165,-4.3224826,0.031011946499347687,1.0182576179504395,41000,1025,40.0,0.0,40,40,-0.38720072893816104,0.2266737993812319,-0.10798859418417107,-2.252689882444361,-84.63644765398257,0.5594662925347936,0.34865478387764354,3.078719460754026,2.8207692126384383,1.0,0.0,0.96,0.19595917942265428,0.0,0.0,-0.38720072893816104,0.2266737993812319,4000,100,40.0,0.0,40,40,-0.9400182639834558,2.1897169034440758,-0.2738831731604658,-10.479249669258133,-102.98395009993303,1.095810433553925,1.842966302639513,5.914629865061997,13.2823904766472,0.95,0.2179449471770337,0.95,0.2179449471770337,-0.18565351684225356,0.8092449184283096,-0.754364747141202,1.381214588146288,0,23254.520935481985,4
0.5270549,0.35337102,30.044643,-25.024776,21.998934,-2.5626564,-198.9182,5.2134004,5.5661855,25.38567,-6.164937,-1.5326697,0.68672967,0.046216846,-4.182447,0.02972879633307457,-2.765705108642578,49000,1225,40.0,0.0,40,40,-0.40587379061097195,0.8965067429157203,-0.12616043896797627,-9.006188006999977,-86.58429479372393,0.5853817527144629,0.9548409681402442,2.254134626756539,4.598069660664996,0.985,0.1215524578114322,0.98,0.13999999999999999,-0.03449877221351037,0.3044279103329687,-0.3713750183974616,0.6230992634999902,4800,120,40.0,0.0,40,40,-0.1882141299562647,0.04614763865173428,-0.13624422384886414,-0.365558597845996,-79.63690884595572,0.32312502352380346,0.0802815471404149,0.7635126198655371,0.33297897176894664,1.0,0.0,1.0,0.0,0.0,0.0,-0.1882141299562647,0.04614763865173428,0,27487.23518868199,5
0.4315958,0.45645583,32.25592,-26.596514,22.827578,-1.5714434,-212.16263,6.0054207,5.821106,28.966795,-5.0277276,-1.6068584,0.7193428,-0.118388176,-4.3231096,0.02653876505792141,0.0196705162525177,57000,1425,40.0,0.0,40,40,-0.24306081122484918,0.09072370905492641,-0.0744631263606682,-0.9366806493675461,-79.544917840983,0.40548668803685906,0.14871891749385016,1.1550103557924734,0.9412906078690009,1.0,0.0,0.995,0.07053367989832944,0.0,0.0,-0.24306081122484918,0.09072370905492641,5600,140,40.0,0.0,40,40,-0.3163593928112498,0.08288002800409862,-0.16745725836696623,-0.43439556058943674,-80.31182456619253,0.5601006093815143,0.1565505650842016,1.0401787536364124,0.21268672710339392,1.0,0.0,1.0,0.0,0.0,0.0,-0.3163593928112498,0.08288002800409862,0,31743.710505830997,6
1.0980991,0.75265914,30.181107,-24.849052,18.49998,-2.2823153,-95.1243,5.3516245,5.3105745,18.064281,-3.4736812,-1.6650468,0.67354566,-0.15261018,-4.189762,0.024833163246512413,-2.3960022926330566,65000,1625,40.0,0.0,40,40,-0.2365173214718222,0.1022836079873649,-0.1102606354729905,-1.29669561261024,-81.77204765830362,0.3902751207207223,0.1652272235013872,1.1854428344731465,0.9878461287236309,1.0,0.0,0.995,0.07053367989832944,0.0,0.0,-0.2365173214718222,0.1022836079873649,6400,160,40.0,0.0,40,40,-0.23677482841279152,0.07262043913468827,-0.1782315288320779,-0.4798272376926387,-80.91224636817809,0.38849065351295275,0.16066107147131417,1.2183804748507496,0.23923270773692829,1.0,0.0,1.0,0.0,0.0,0.0,-0.23677482841279152,0.07262043913468827,0,36062.51850103699,7
0.47510764,0.4064194,29.08921,-23.128391,19.17858,-2.320981,-99.0951,5.93896,5.2104588,21.10868,-2.876231,-1.6960187,0.6775863,-0.037598968,-4.8045826,0.02453717775642872,-0.22629529237747192,73000,1825,40.0,0.0,40,40,-0.25228045459056697,0.4669484942350772,-0.1115393637477059,-6.749513019715429,-81.15098908903312,0.41944623648236473,0.786059185419927,1.1759483292153914,1.6382284510529572,0.995,0.07053367989832944,0.995,0.07053367989832944,-0.0015089959931149548,0.021287008069246386,-0.250771458597452,0.4459657354177867,7200,180,40.0,0.0,40,40,-0.18600524287317852,0.036148357650268824,-0.15325326257332825,-0.3012673126893029,-77.46075238039752,0.3210245531841572,0.06753280335751391,0.7303196875881726,0.25976600043695564,1.0,0.0,1.0,0.0,0.0,0.0,-0.18600524287317852,0.036148357650268824,0,40339.52563397499,8
0.544881,0.5258142,28.20551,-22.612482,18.380756,-0.47687435,-94.17358,6.0824375,5.910786,22.836452,-5.111872,-1.6715975,0.7299442,0.31338328,-5.1573553,0.023775503039360046,0.30825912952423096,81000,2025,40.0,0.0,40,40,-0.26149954997743097,0.543269920370085,-0.0990647577914055,-7.170495391622763,-81.24523607674953,0.3970711099494602,0.43387519258996227,1.3293291659868998,4.605056930843317,0.99,0.09949874371066199,0.99,0.09949874371066199,-0.016561653424177643,0.2059667916615444,-0.24493789655325338,0.3529968176381237,8000,200,40.0,0.0,40,40,-0.21033605270819083,0.04034142284735374,-0.16129624209532203,-0.2950341157516162,-84.07530941618384,0.38148316670715265,0.07435394910478571,0.561340197908921,0.2953107626176939,1.0,0.0,1.0,0.0,0.0,0.0,-0.21033605270819083,0.04034142284735374,0,44589.72622225898,9
